"picture src","balance-text","layout 2","layout 3"
"https://www.moma.org/media/W1siZiIsIjU4ODk1OSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=c2df3368f0601267","Cave_bureau, KabageKaranja, Stella Mutegi","",""
"https://www.moma.org/media/W1siZiIsIjU5NzQyNCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=3b60eb26ab8de10b","","Kō Nakajima","Cylinder Projector"
"https://www.moma.org/media/W1siZiIsIjU4NjYzOCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=21d6b9367a778b0a","2020 / 2023-24","Joel Shapiro","ARK"
"https://www.moma.org/media/W1siZiIsIjU0MzgxOSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=5fa609623d0323e3","","Nairy Baghramian","Reclining (Pauline)"
"https://www.moma.org/media/W1siZiIsIjU1ODI4MCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=7bd5e3ac944c78d1","","Erica Baum","Fabrications"
"https://www.moma.org/media/W1siZiIsIjU3OTIxOSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=a7e1b32eb19bb114","Enzo Camacho,Ami Lien","","Decomposition Animation"
"https://www.moma.org/media/W1siZiIsIjU3NTMyOSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=fc2098d5d4bf4d7d","","Sarah Crowner",""
"https://www.moma.org/media/W1siZiIsIjU3NTMzNCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=8de5afddd3846868","","Sarah Crowner",""
"https://www.moma.org/media/W1siZiIsIjU2ODcyNCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=3926896df95bc9ac","","Sarah Crowner","Green Blade"
"https://www.moma.org/media/W1siZiIsIjYwMDY0MiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=1a3c7d34b6a12166","","Amy Cutler","Turtle Bridge"
"https://www.moma.org/media/W1siZiIsIjYwNzY1MSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=2f98c8874bee435e","","Kenturah Davis",""
"https://www.moma.org/media/W1siZiIsIjU2NzI4OCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=010a1b28e09c1f1c","","Aria Dean","Abattoir, U.S.A.!"
"https://www.moma.org/media/W1siZiIsIjU3NTMzNSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=6c0e102d6a9df59c","","Carroll Dunham",""
"https://www.moma.org/media/W1siZiIsIjYwNjg5MSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=94138316c41f9222","","Torkwase Dyson","Metamorphosis 1"
"https://www.moma.org/media/W1siZiIsIjYwNjg5MCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=421fbf695fa45d65","","Torkwase Dyson","Metamorphosis 2"
